age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country
40.79484497927112,0,207107,7,12,0,0,4,1,1,0,2080,48.0,29
21.5687284025556,4,197387,11,9,4,4,3,4,1,0,0,48.0,38
44.093630436487935,2,111268,9,13,4,0,3,4,0,0,0,48.0,38
35.4829549083306,2,98283,14,15,4,9,1,1,1,0,0,48.0,18
39.318704002757705,2,224232,9,13,2,11,0,4,1,0,0,48.0,38
52.59022577089846,1,26832,11,9,2,2,0,4,1,0,0,48.0,38
42.16025775378108,2,99065,15,10,0,3,4,4,0,0,0,46.8,38
51.69847260254054,1,84808,11,9,0,0,4,2,0,0,0,48.0,38
47.83203376728836,1,109089,14,15,2,10,0,4,1,0,0,48.0,38
20.643959955824883,2,374313,11,9,2,13,0,4,1,0,0,60.0,38
48.69984769813262,2,152373,15,10,2,11,0,4,1,0,0,48.0,38
36.14016320391407,2,255941,12,14,4,3,1,4,0,10520,0,60.0,38
36.14421669604167,2,113364,9,13,4,9,1,4,1,0,0,48.0,38
58.97996130338833,2,128230,5,4,2,11,0,4,1,0,0,60.0,38
49.437294105200245,1,123075,12,14,2,9,0,4,1,0,0,42.0,38
34.05873363296112,2,270059,15,10,0,11,4,4,0,0,0,36.0,38
27.119137127266427,2,162404,9,13,4,2,1,2,1,0,0,72.0,38
47.94388571539012,3,100029,9,13,6,11,4,4,1,0,0,78.0,38
51.21569129805454,4,236111,15,10,2,9,0,3,1,0,0,66.0,38
48.864288222127136,4,349986,9,13,2,9,0,4,1,0,0,72.0,38
25.333424288433264,2,165474,15,10,4,2,1,4,1,0,0,48.0,38
27.3961663486973,2,159567,15,10,2,6,0,4,1,0,0,48.0,38
72.35858098833015,2,35494,11,9,2,3,0,4,1,0,0,36.0,38
56.79065521576459,4,141807,9,13,2,3,0,4,1,0,0,48.0,38
20.388658127949032,2,235733,11,9,4,7,1,4,0,0,0,54.0,38
20.76512493933949,2,385540,0,6,4,7,1,4,1,0,0,48.0,25
36.379952648207635,2,189843,5,4,2,6,0,4,1,0,0,48.0,38
21.960381083904675,2,250038,12,14,2,6,1,4,1,0,0,48.0,25
24.517026745393515,2,132078,9,13,4,9,1,4,0,0,0,48.0,38
58.654403214936515,2,167864,8,11,6,9,1,4,0,0,0,48.0,38
44.326904288574525,2,276087,11,9,2,11,0,4,1,5013,0,60.0,38
19.465844262273137,2,283757,9,13,4,0,3,4,1,0,0,46.8,38
41.32406466321856,3,311231,14,15,2,9,0,4,1,0,1485,60.0,38
52.35824389052044,2,24694,15,10,0,9,1,4,0,0,0,48.0,38
22.722982047608635,2,285457,15,10,4,13,3,4,1,0,0,60.0,38
17.523089628760108,2,105908,11,9,4,5,2,4,1,0,0,84.0,38
16.898157076635783,2,293227,11,9,4,7,1,4,0,0,0,54.0,38
25.966935597414608,2,215384,1,7,4,7,1,4,1,0,0,48.0,38
16.738298966601754,2,200593,15,10,4,11,3,4,1,0,0,48.0,38
37.09016472662783,2,176117,15,10,4,11,3,2,0,0,0,42.0,38
33.68912755540323,2,28160,9,13,3,3,4,4,0,0,0,48.0,38
34.07781326674792,2,208358,14,15,0,9,1,4,1,99999,0,54.0,38
31.7456827047668,2,209934,4,3,2,7,0,4,1,0,0,48.0,25
42.69498881793337,2,32896,4,3,4,6,3,4,0,0,0,42.0,38
28.548241704160997,2,69107,11,9,2,5,0,2,1,0,0,48.0,38
53.739447686659325,2,95469,9,13,2,0,0,4,1,0,1902,48.0,38
46.244081318287094,2,317360,15,10,0,0,1,4,0,0,0,60.0,38
57.47707611525852,5,398626,10,16,0,9,4,4,1,25236,0,54.0,38
65.41963092668121,5,215908,11,9,2,0,0,4,1,0,2174,48.0,38
52.92763360988737,2,42924,2,8,2,2,0,4,1,0,0,54.0,38
27.831067818649018,2,421561,1,7,2,7,2,4,1,0,0,30.0,38
43.162204740527095,2,278187,11,9,2,6,0,4,1,0,0,48.0,38
36.73925383694401,2,56118,11,9,0,7,4,4,0,0,0,48.0,38
50.658425860260294,2,123207,11,9,4,0,1,4,0,0,0,52.8,38
24.46040072066766,1,327533,11,9,2,10,0,4,1,3908,0,48.0,38
33.000041398379665,2,195602,9,13,2,11,0,4,1,0,1977,54.0,38
34.222708937396575,2,209900,9,13,2,2,0,4,1,0,0,48.0,38
42.204073856299146,5,367292,15,10,2,10,0,4,1,0,0,48.0,38
27.536342358534153,2,363963,11,9,0,7,1,4,0,0,0,48.0,38
22.92417440860533,1,238831,15,10,4,10,3,4,1,0,0,48.0,38
29.330033862313787,4,31510,7,12,0,2,1,4,1,0,0,60.0,38
42.00542838083313,2,200734,11,9,5,7,1,2,0,0,0,48.0,38
23.456272543942294,1,287988,9,13,4,9,1,4,1,0,0,48.0,38
33.52465042022945,2,267798,11,9,0,2,4,4,1,0,0,48.0,38
22.021354948552627,2,50397,11,9,4,0,3,2,1,0,0,24.0,38
43.318544113182355,2,234699,11,9,3,7,4,2,0,0,0,72.0,38
51.2635585260632,2,131631,1,7,5,6,4,2,1,0,0,48.0,38
20.145523788444393,2,160951,11,9,4,2,3,2,1,2597,0,48.0,38
36.61628784684211,2,75826,9,13,0,0,4,4,0,0,0,48.0,38
61.597582555027145,4,221884,15,10,2,0,0,4,1,0,0,60.0,38
51.32851145279001,2,200190,7,12,2,11,0,4,1,0,0,96.0,38
30.517983843290754,2,47932,11,9,2,5,0,4,1,0,0,48.0,38
31.852847657413157,2,87054,11,9,2,2,0,4,1,0,0,60.0,38
46.21284357771212,2,173888,5,4,2,13,0,4,1,0,0,96.0,38
45.418743278615786,2,118023,14,15,0,11,1,4,1,0,0,15.6,38
55.36667053219772,2,318450,12,14,2,0,0,4,1,0,0,96.0,38
47.814827041312185,2,128378,9,13,2,9,0,4,1,0,0,48.0,38
36.631787946607595,2,107302,12,14,2,9,0,4,1,0,0,72.0,38
26.972610155262927,5,118520,11,9,2,10,0,4,1,0,0,50.4,38
27.280128501430443,2,213902,4,3,4,8,2,4,0,0,0,48.0,7
39.48992430596384,0,37683,14,15,4,9,1,1,0,99999,0,68.39999999999999,1
42.90564510637042,2,174426,11,9,2,2,0,4,1,0,0,48.0,38
23.732060071207066,5,231473,7,12,2,0,0,4,1,0,0,36.0,38
43.87220025752124,1,174684,11,9,0,2,4,2,1,0,0,48.0,38
35.50177091585904,2,215392,9,13,0,12,1,4,0,0,0,48.0,38
26.559269670396123,1,30793,9,13,2,9,5,4,0,0,0,66.0,38
34.9964033573742,2,126954,11,9,0,13,1,4,1,0,0,48.0,38
48.65222526841558,2,305673,8,11,2,2,0,4,1,0,0,48.0,1
35.38809780384087,2,77820,15,10,2,2,0,4,1,0,0,48.0,38
31.94869458307006,2,220148,11,9,2,2,0,4,1,0,1848,60.0,38
33.41547085343894,2,287878,15,10,2,7,5,4,0,0,0,31.2,38
34.228639384798655,2,130589,15,10,0,3,1,4,1,0,0,54.0,38
36.440629017016725,2,199753,11,9,4,6,3,4,1,0,0,57.599999999999994,38
35.26029380208069,2,223212,11,9,0,2,4,4,1,0,0,48.0,38
25.97761156297273,2,186495,11,9,0,0,1,4,0,0,0,38.4,38
56.97977981315742,2,39493,8,11,2,13,0,4,1,0,0,24.0,38
28.471534248875862,1,86615,11,9,4,7,3,2,1,0,0,36.0,38
38.71646244171561,2,32668,9,13,2,6,0,4,1,0,0,51.6,38
48.912771268072426,4,189123,11,9,2,2,0,4,1,5013,0,60.0,38
29.110352168535307,2,398988,15,10,4,3,1,4,1,0,0,48.0,38
46.36418013516381,2,738812,11,9,2,2,0,4,1,0,0,55.199999999999996,38
37.84194636236714,2,138441,11,9,0,13,1,4,1,0,0,48.0,38
31.38169130786554,2,203488,15,10,4,2,1,4,1,0,0,52.8,38
51.34092570210437,2,308764,15,10,0,3,4,4,0,0,0,48.0,38
40.311596866764496,2,117917,11,9,2,9,0,0,1,0,0,60.0,38
33.235507264249634,2,196791,14,15,0,9,1,4,0,0,0,54.0,38
23.67154557653802,2,117167,15,10,4,7,1,4,0,0,0,63.599999999999994,38
31.55254420032471,2,237833,15,10,0,12,1,4,0,0,0,48.0,38
92.22335783548625,2,90523,11,9,6,13,4,4,1,0,0,118.8,38
28.123556219925486,3,80158,11,9,4,3,3,4,1,0,0,48.0,38
